state,zipcode,census_tract_id,mean_household_income
AK,99660,2016000100,59723
AK,99685,2016000200,91538
AK,99502,2020002301,129840
AK,99557,2050000300,56973
AK,99680,2050000100,49549
AK,99637,2050000100,49549
AK,99607,2050000300,56973
AK,99656,2050000300,56973
AK,99613,2164000100,55699
AK,99760,2068000100,78511
AK,99704,2068000100,78511
AK,99576,2070000100,51042
AK,99569,2070000100,51042
AK,99703,2090001100,55900
AK,99832,2105000300,54330
AK,99572,2122000300,85571
AK,99669,2122000400,75442
AK,99682,2122000100,42537
AK,99644,2150000100,65712
AK,99676,2170000102,45488
AK,99694,2170000401,64232
AK,99739,2180000100,46477
AK,99783,2180000100,46477
AK,99752,2188000100,55253
AK,99830,2195000200,73267
AK,99840,2230000100,93822
AK,99563,2270000100,47397
AK,99604,2270000100,47397
AK,99689,2282000100,79072
AK,99722,2290000100,35141
AK,99768,2290000300,41621
AK,99767,2290000200,54749
AK,99740,2290000100,35141
AK,99507,2020000300,61260
AK,99567,2020000101,108951
AK,99540,2020002900,97126
AK,99513,2020001100,53862
AK,99668,2050000300,56973
AK,99679,2050000100,49549
AK,99575,2050000300,56973
AK,99555,2070000100,51042
AK,99702,2090001800,67059
AK,99611,2122000200,74350
AK,99663,2122001200,52115
AK,99643,2150000100,65712
AK,99550,2150000100,65712
AK,99548,2164000100,55699
AK,99789,2185000200,71894
AK,99761,2188000100,55253
AK,99736,2188000100,55253
AK,99925,2198000200,63808
AK,99922,2198000100,55501
AK,99732,2240000100,53209
AK,99566,2261000100,59017
AK,99730,2290000100,35141
AK,99665,2290000400,51361
AK,99553,2013000100,65923
AK,99661,2013000100,65923
AK,99546,2016000100,59723
AK,99681,2050000100,49549
AK,99552,2050000100,49549
AK,99655,2050000100,49549
AK,99712,2090001900,82474
AK,99825,2105000300,54330
AK,99829,2105000300,54330
AK,99841,2105000300,54330
AK,99568,2122000700,78349
AK,99603,2122001200,52115
AK,99549,2164000100,55699
AK,99688,2170000402,69417
AK,99652,2170000501,58575
AK,99659,2180000100,46477
AK,99723,2185000100,88714
AK,99759,2185000200,71894
AK,99750,2188000100,55253
AK,99926,2198940100,51660
AK,99927,2198000100,55501
AK,99764,2240000100,53209
AK,99776,2240000100,53209
AK,99573,2261000100,59017
AK,99586,2261000100,59017
AK,99585,2270000100,47397
AK,99658,2270000100,47397
AK,99650,2270000100,47397
AK,99581,2270000100,47397
AK,99781,2290000100,35141
AK,99720,2290000300,41621
AK,99765,2290000300,41621
AK,99692,2016000200,91538
AK,99547,2016000100,59723
AK,99517,2020002202,62348
AK,99559,2050000100,49549
AK,99614,2050000100,49549
AK,99744,2068000100,78511
AK,99729,2170000101,41606
AK,99705,2090001500,89588
AK,99827,2100000100,64843
AK,99801,2110000500,83197
AK,99610,2122000400,75442
