"ID","state","zipcode","census_tract_id","census_tract_name"
"1","AK","99660","02016000100","Census Tract 1"
"2","AK","99685","02016000200","Census Tract 2"
"3","AK","99502","02020002301","Census Tract 23.01"
"4","AK","99557","02050000300","Census Tract 3"
"5","AK","99680","02050000100","Census Tract 1"
"6","AK","99637","02050000100","Census Tract 1"
"7","AK","99607","02050000300","Census Tract 3"
"8","AK","99656","02050000300","Census Tract 3"
"9","AK","99613","02164000100","Census Tract 1"
"10","AK","99760","02068000100","Census Tract 1"
"11","AK","99704","02068000100","Census Tract 1"
"12","AK","99576","02070000100","Census Tract 1"
"13","AK","99569","02070000100","Census Tract 1"
"14","AK","99703","02090001100","Census Tract 11"
"15","AK","99832","02105000300","Census Tract 3"
"16","AK","99572","02122000300","Census Tract 3"
"17","AK","99669","02122000400","Census Tract 4"
"18","AK","99682","02122000100","Census Tract 1"
"19","AK","99644","02150000100","Census Tract 1"
"20","AK","99676","02170000102","Census Tract 1.02"
"21","AK","99694","02170000401","Census Tract 4.01"
"22","AK","99739","02180000100","Census Tract 1"
"23","AK","99783","02180000100","Census Tract 1"
"24","AK","99752","02188000100","Census Tract 1"
"25","AK","99830","02195000200","Census Tract 2"
"26","AK","99840","02230000100","Census Tract 1"
"27","AK","99563","02270000100","Census Tract 1"
"28","AK","99604","02270000100","Census Tract 1"
"29","AK","99689","02282000100","Census Tract 1"
"30","AK","99722","02290000100","Census Tract 1"
"31","AK","99768","02290000300","Census Tract 3"
"32","AK","99767","02290000200","Census Tract 2"
"33","AK","99740","02290000100","Census Tract 1"
"34","AK","99507","02020000300","Census Tract 3"
"35","AK","99567","02020000101","Census Tract 1.01"
"36","AK","99540","02020002900","Census Tract 29"
"37","AK","99513","02020001100","Census Tract 11"
"38","AK","99668","02050000300","Census Tract 3"
"39","AK","99679","02050000100","Census Tract 1"
"40","AK","99575","02050000300","Census Tract 3"
"41","AK","99555","02070000100","Census Tract 1"
"42","AK","99702","02090001800","Census Tract 18"
"43","AK","99611","02122000200","Census Tract 2"
"44","AK","99663","02122001200","Census Tract 12"
"45","AK","99643","02150000100","Census Tract 1"
"46","AK","99550","02150000100","Census Tract 1"
"47","AK","99548","02164000100","Census Tract 1"
"48","AK","99789","02185000200","Census Tract 2"
"49","AK","99761","02188000100","Census Tract 1"
