State	Rank	 Index	Items	Housing	Utilities	Transportation	Heath Care	Misc
TN	1	89.63	94.41	78.10	89.47	94.60	92.01	95.93
KY	2	89.92	92.11	78.26	95.16	96.30	95.14	94.81
OK	3	90.12	93.97	80.90	93.97	94.25	94.98	93.40
AR	4	90.80	94.20	83.56	92.08	93.74	88.98	94.65
IN	5	91.31	93.91	82.17	87.41	95.02	98.49	97.37
ID	6	91.41	95.11	79.83	93.70	95.40	94.11	97.69
TX	7	91.46	89.45	83.46	96.04	95.52	96.55	95.85
NE	8	91.58	96.24	82.99	99.74	93.43	94.37	93.62
KS	9	91.89	91.86	85.71	87.51	94.84	90.70	97.95
UT	10	92.16	98.19	82.25	85.98	96.97	91.78	98.90
AL	11	92.23	99.09	79.85	99.42	94.83	87.82	97.75
MO	12	92.72	97.58	80.98	103.06	95.56	95.73	96.40
WV	13	92.93	91.50	86.23	100.79	102.57	97.65	93.09
GA	14	93.88	102.07	80.74	98.63	101.28	96.34	97.80
LA	15	93.95	95.64	91.42	84.64	96.32	94.29	97.66
OH	16	94.33	99.97	83.49	97.36	101.36	98.33	97.73
MS	17	94.63	96.77	83.06	108.09	97.53	91.60	99.10
IA	18	94.90	95.21	92.53	90.75	97.41	96.95	97.11
NV	19	94.91	100.95	87.53	84.19	106.77	102.90	97.41
NC	20	95.31	103.35	83.80	98.22	98.28	101.30	99.42
MI	21	95.37	94.44	86.29	103.20	101.47	95.92	99.17
VA	22	95.82	96.93	93.70	97.16	94.96	99.59	96.57
SC	23	96.84	105.05	83.76	107.14	97.33	100.51	101.01
IL	24	96.98	96.92	89.41	102.75	104.76	99.84	98.87
NM	25	97.71	97.17	97.34	92.58	95.00	93.55	101.37
WI	26	98.43	98.58	91.23	104.24	99.83	109.94	100.82
FL	27	99.21	102.84	92.91	99.98	106.31	100.33	100.53
ND	28	99.48	103.99	100.14	82.74	94.25	103.89	103.54
SD	29	99.74	107.60	98.68	94.64	93.92	99.41	101.03
CO	30	99.76	100.72	103.31	94.20	94.83	103.32	99.16
MT	31	100.06	110.06	97.47	88.50	94.97	103.92	103.08
WA	32	100.63	102.25	102.41	85.50	102.38	113.52	100.92
MN	33	101.27	102.90	96.65	101.69	101.12	106.61	103.88
PA	34	101.69	102.80	98.10	109.75	102.40	97.16	102.20
AZ	35	102.72	103.13	110.26	95.47	104.19	99.11	98.25
WY	36	103.86	102.05	117.59	95.12	84.83	103.99	101.52
DE	37	108.24	111.29	101.37	122.02	104.59	100.70	110.84
OR	38	108.64	98.39	117.82	99.35	115.23	117.44	104.40
ME	39	112.26	103.03	133.03	109.40	100.34	112.05	102.58
VT	40	120.22	111.68	138.48	128.68	109.75	104.54	110.46
NH	41	121.03	102.06	128.03	125.25	105.68	115.70	127.08
MA	42	121.24	108.39	130.68	120.32	108.59	127.94	121.75
MD	43	123.39	113.36	175.44	109.33	104.35	101.50	95.34
RI	44	125.54	112.00	132.50	124.84	106.81	119.51	132.19
NJ	45	128.62	108.08	166.55	135.46	103.99	101.80	113.16
CA	46	130.02	112.58	184.40	107.22	111.95	107.50	105.56
CT	47	132.74	116.20	161.48	122.14	119.24	117.01	124.19
NY	48	133.60	112.73	188.23	117.18	112.00	107.42	109.94
AK	49	135.65	136.13	150.06	167.84	115.89	141.89	118.00
DC	50	144.60	113.21	248.41	103.43	107.63	101.86	97.15
HI	51	165.79	156.82	236.59	167.85	126.61	117.72	125.77
