"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"New York","NY","New York","Queens",0,535100,0.0157555049354594,0.0346094354215004,0.11108803986711,0.0284370697655203,,507196,"2014-06","2014-Q2",535100,0,"2014-06",,,,
2014-06-30,"Los Angeles","CA","Los Angeles","Los Angeles",1,531400,0.0139286395726006,0.0529027144838518,0.161783996501968,0.0493283704994274,0.0177196235026187,576001,"2006-08","2006-Q3",602100,-0.117422355090517,"2005-06","1996-08","1996-Q3",155600,-0.741571167580136
2014-06-30,"Chicago","IL","Chicago","Cook",2,186600,0.00974025974025974,-0.0235478806907378,0.0880466472303207,-0.0283879932544403,-0.0103693121221713,539343,"2006-12","2006-Q4",245000,-0.238367346938776,"2003-04","1996-09","1996-Q3",106800,-0.564081632653061
2014-06-30,"Philadelphia","PA","Philadelphia","Philadelphia",3,107500,0.00655430711610487,-0.0227272727272727,0.0131950989632422,-0.0162890138605176,0.0306332123196682,463292,"2007-09","2007-Q3",122800,-0.124592833876221,"2005-12","1996-11","1996-Q4",50200,-0.591205211726384
2014-06-30,"Phoenix","AZ","Phoenix","Maricopa",4,167600,0.00419412822049131,0.0231990231990232,0.0729833546734955,0.0149692487743334,0.012377725247904,397315,"2006-06","2006-Q2",246400,-0.319805194805195,"2005-01","1996-04","1996-Q2",86400,-0.649350649350649
2014-06-30,"Las Vegas","NV","Las Vegas","Clark",5,176300,0.010894495412844,0.0601322910402886,0.220069204152249,0.0251625671508455,-0.0268716349458102,418431,"2006-07","2006-Q3",299600,-0.41154873164219,"2003-11","2012-01","2012-Q1",109000,-0.636181575433912
2014-06-30,"San Diego","CA","San Diego","San Diego",6,502000,0.00742524583584186,0.028056522629531,0.109147149801149,0.0554386151239514,0.00172948539738482,309517,"2005-10","2005-Q4",536200,-0.0637821708317792,"2004-07","1996-11","1996-Q4",157200,-0.706825811264454
2014-06-30,"Dallas","TX","Dallas-Fort Worth","Dallas",7,113200,0.00622222222222222,0.0262919310970082,0.124131082423039,0.0165117982446683,0.00406467564128032,264913,"2007-11","2007-Q4",122400,-0.0751633986928105,"2005-02","1997-01","1997-Q1",66700,-0.455065359477124
2014-06-30,"San Jose","CA","San Jose","Santa Clara",8,720600,0.0120786516853933,0.0499781436689494,0.165076798706548,0.0700324254442459,0.0289672688740288,209306,"2014-06","2014-Q2",720600,0,"2014-06",,,,
2014-06-30,"Jacksonville","FL","Jacksonville","Duval",9,122100,0.0141196013289037,0.0391489361702128,0.15515610217597,-0.0243267523432289,-0.00501836672490608,260069,"2006-10","2006-Q4",179200,-0.318638392857143,"2004-01","1996-04","1996-Q2",75100,-0.580915178571429
